prompt,deviation,rgb,hex
dark orangy yellow,29.56,199 138 5,#c78a05
dark pink,24.71,177 71 95,#b1475f
dark pinkish orange,24.13,195 81 45,#c3512d
dark pinkish purple,25.51,119 45 84,#772d54
dark pinkish red,31.67,160 36 48,#a02430
dark purple,18.71,61 34 74,#3d224a
dark purplish brown,17.6,75 39 45,#4b272d
dark purplish gray,14.82,66 53 66,#423542
dark purply blue,24.73,34 42 87,#222a57
dark purply red,26.53,95 19 29,#5f131d
dark raspberry,35.44,120 35 56,#782338
dark red,28.87,121 16 17,#791011
dark reddish brown,26.18,103 38 22,#672616
dark reddish gray,25.89,81 42 41,#512a29
dark reddish orange,33.5,175 51 9,#af3309
dark reddish pink,34.66,155 40 53,#9b2835
dark reddish purple,22.76,81 23 41,#511729
dark scarlet,26.25,136 19 18,#881312
dark sea green,18.28,36 101 73,#246549
dark sienna,20.34,152 78 28,#984e1c
dark sky blue,26.75,48 104 137,#306889
dark slate,20.54,55 64 64,#374040
dark slate gray,17.94,67 73 73,#434949
dark teal,20.11,31 93 85,#1f5d55
dark turquoise,31.39,32 121 114,#207972
dark violet,20.66,65 33 82,#412152
dark white,36.8,145 144 138,#91908a
dark yellow,28.35,202 163 4,#caa304
dark yellowish brown,22.86,185 130 12,#b9820c
dark yellowish gray,28.39,168 131 29,#a8831d
dark yellowy green,37.44,147 148 12,#93940c
dark yellowy orange,23.94,202 131 5,#ca8305
darkblue,24.52,32 60 87,#203c57
darkcyan,30.68,39 88 101,#275865
darkest green,25.74,21 83 41,#155329
darkest navy,24.38,37 47 58,#252f3a
darkgoldenrod,32.34,154 61 20,#9a3d14
darkgray,19.15,71 73 72,#474948
darkgreen,20.14,31 90 51,#1f5a33
darkgrey,19.01,72 74 72,#484a48
darkkhaki,26.8,47 45 34,#2f2d22
darkmagenta,29.48,117 32 66,#752042
darkolivegreen,24.21,45 80 45,#2d502d
darkorange,27.27,184 77 11,#b84d0b
darkorchid,34.13,93 45 71,#5d2d47
darkred,27.4,126 24 22,#7e1816
darksalmon,39.66,161 82 60,#a1523c
darkseagreen,20.17,26 99 67,#1a6343
darkslateblue,20.77,39 66 84,#274254
darkslategray,17.29,67 74 73,#434a49
darkslategrey,17.83,70 76 76,#464c4c
darkturquoise,30.09,37 112 106,#25706a
darkviolet,17.21,66 38 88,#422658
day sky blue,20.89,153 193 206,#99c1ce
dayglow pink,24.2,213 113 148,#d57194
deep amber,18.21,189 102 16,#bd6610
deep black,12.17,24 23 19,#181713
deep blue,30.58,27 79 127,#1b4f7f
deep blueish purple,19.76,56 47 110,#382f6e
deep bluey gray,21.15,63 85 99,#3f5563
deep bluey green,27.83,24 117 89,#187559
deep bluey turquoise,28.38,33 148 153,#219499
deep brown,21.64,103 58 32,#673a20
deep brownish gray,17.61,84 70 57,#544639
deep cadmium yellow,19.59,228 188 4,#e4bc04
deep emerald green,16.51,19 112 58,#13703a
deep gray,18.52,75 78 77,#4b4e4d
deep green,26.71,23 108 48,#176c30
deep greenish blue,26.82,27 110 91,#1b6e5b
deep greenish brown,25.95,69 81 44,#45512c
deep greenish gray,19.02,64 90 74,#405a4a
deep greenish yellow,30.21,157 170 12,#9daa0c
deep greeny turquoise,25.34,25 137 98,#198962
deep mauve,17.58,115 65 75,#73414b
deep orange,18.12,204 86 10,#cc560a
deep orangy brown,22.59,173 79 17,#ad4f11
deep orangy pink,18.26,215 91 70,#d75b46
deep orangy red,25.73,196 52 13,#c4340d
deep orangy yellow,20.0,224 155 6,#e09b06
deep peach,18.06,216 141 105,#d88d69
deep periwinkle,28.21,103 130 161,#6782a1
deep pink,20.62,201 83 112,#c95370
deep pinkish orange,16.28,216 91 57,#d85b39
deep pinkish purple,21.9,149 55 104,#953768
deep pinkish red,23.57,185 45 58,#b92d3a
deep purple,20.85,80 41 97,#502961
deep purplish brown,17.67,88 43 52,#582b34
deep purplish gray,18.43,82 62 82,#523e52
deep purply blue,28.26,48 49 107,#30316b
deep purply red,23.7,110 23 38,#6e1726
deep red,24.32,149 18 17,#951211
deep reddish brown,25.37,119 40 21,#772815
deep reddish gray,24.15,97 45 44,#612d2c
deep reddish orange,24.22,195 55 10,#c3370a
deep reddish pink,26.61,178 46 60,#b22e3c
deep reddish purple,24.03,95 23 44,#5f172c
deep rose,29.14,167 76 83,#a74c53
deep sea blue,26.09,38 111 148,#266f94
deep sea green,20.96,32 129 88,#208158
deep sky blue,27.62,57 129 167,#3981a7
deep teal,19.76,37 114 105,#257269
deep turquoise,28.12,38 151 142,#26978e
deep yellow,24.55,223 184 4,#dfb804
deep yellowish brown,19.45,200 141 14,#c88d0e
deep yellowish gray,25.45,185 148 35,#b99423
deep yellowy green,31.22,162 174 8,#a2ae08
deep yellowy orange,16.43,224 150 6,#e09606
deeppink,25.61,192 95 117,#c05f75
deepskyblue,30.47,59 115 152,#3b7398
deer brown,23.59,137 94 60,#895e3c
denim blue,23.08,64 109 144,#406d90
denim dark blue,20.86,33 60 87,#213c57
desert sand,14.03,207 171 121,#cfab79
dimgray,18.57,120 124 116,#787c74
dimgrey,28.64,124 123 104,#7c7b68
dimorphotheca magenta,31.84,175 80 110,#af506e
dinosaur green,27.6,73 151 68,#499744
dirty blue,24.12,49 112 145,#317091
dirty blueish purple,17.65,72 68 122,#48447a
dirty bluey gray,17.12,99 121 129,#637981
dirty bluey green,27.75,49 130 99,#318263
dirty bluey turquoise,26.15,57 159 158,#399f9e
dirty brown,17.13,133 81 42,#85512a
dirty brownish gray,15.8,113 98 77,#71624d
dirty gray,13.56,114 115 108,#72736c
dirty green,28.19,58 118 58,#3a763a
dirty greenish blue,24.67,63 131 110,#3f836e
dirty greenish brown,23.46,99 102 57,#636639
dirty greenish gray,18.13,96 116 95,#60745f
dirty greenish yellow,23.89,173 178 23,#adb217
dirty greeny turquoise,27.05,58 153 113,#3a9971
dirty orange,14.81,208 99 15,#d0630f
dirty orangy brown,17.35,180 95 26,#b45f1a
dirty orangy pink,13.93,222 120 98,#de7862
dirty orangy red,23.28,198 60 17,#c63c11
dirty orangy yellow,17.94,226 168 6,#e2a806
dirty pink,15.43,208 128 135,#d08087
dirty pinkish orange,12.85,220 116 77,#dc744d
dirty pinkish purple,18.01,161 84 128,#a15480
dirty pinkish red,21.04,198 76 75,#c64c4b
dirty purple,15.36,97 61 109,#613d6d
dirty purplish brown,16.57,103 59 64,#673b40
dirty purplish gray,14.77,103 85 101,#675565
dirty purply blue,22.15,48 76 123,#304c7b
dirty purply red,22.7,136 27 37,#881b25
dirty red,22.68,164 29 21,#a41d15
dirty reddish brown,20.38,141 57 26,#8d391a
dirty reddish gray,25.97,125 67 58,#7d433a
dirty reddish orange,20.43,201 73 15,#c9490f
dirty reddish pink,20.46,198 82 82,#c65252
dirty reddish purple,20.56,112 39 60,#70273c
dirty turquoise,26.5,72 160 144,#48a090
dirty white,17.21,201 199 186,#c9c7ba
dirty yellow,16.35,226 187 9,#e2bb09
dirty yellowish brown,17.34,204 150 23,#cc9617
dirty yellowish gray,20.3,197 162 47,#c5a22f
